thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
34,0,34,up,1,1.1173013999941759,None,0,34,0,34,0,65.38610830000835,,65.37441699998453,65.38610830000835,66.3865347999963,66.3865347999963,67.5077785999747,up,1,1.1173013999941759,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
35,0,35,down,1,0.9197676000185311,None,4,35,0,35,0,67.51980309997452,,67.50807619997067,67.51980309997452,68.52004199998919,68.52004199998919,69.44121739995899,down,1,0.9197676000185311,None,4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
36,0,36,up,1,1.1764372999896295,None,0,36,0,36,0,69.45318489999045,,69.44153149996419,69.45318489999045,70.45318209996913,70.45318209996913,71.64159319997998,up,1,1.1764372999896295,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
37,0,37,up,1,0.9366880000452511,None,0,37,0,37,0,71.65305319998879,,71.64183509995928,71.65305319998879,72.6534440999967,72.6534440999967,73.59139829996275,up,1,0.9366880000452511,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
38,0,38,up,1,0.8129942999803461,None,0,38,0,38,0,73.6032335999771,,73.59167379996506,73.6032335999771,74.6035353000043,74.6035353000043,75.42443149996689,up,1,0.8129942999803461,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
39,0,39,up,1,1.0740564999869093,None,0,39,0,39,0,75.43671199999517,,75.42470370000228,75.43671199999517,76.43693399999756,76.43693399999756,77.5245631999569,up,1,1.0740564999869093,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
40,0,40,down,1,0.7512358000385575,None,4,40,0,40,0,77.53685330000008,,77.5248586999951,77.53685330000008,78.53701739996905,78.53701739996905,79.29004469997017,down,1,0.7512358000385575,None,4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
41,0,41,down,1,0.6049656000104733,None,4,41,0,41,0,79.30342909996398,,79.29030739999143,79.30342909996398,80.30360389995622,80.30360389995622,80.92417249997379,down,1,0.6049656000104733,None,4,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
42,0,42,down,0,0.9112205999554135,None,0,42,0,42,0,80.93677359999856,,80.92440929997247,80.93677359999856,81.93721599999117,81.93721599999117,82.85832709999522,down,0,0.9112205999554135,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
43,0,43,down,0,0.5930196999688633,None,0,43,0,43,0,82.8702577999793,,82.8585987999686,82.8702577999793,83.87080129998503,83.87080129998503,84.47476359998109,down,0,0.5930196999688633,None,0,775252,001,2024-09-18_15h16.03.336,signaldetection,2024.2.1post4,59.87403698979117,2024-09-18 15h16.16.744014 +0530,
