pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,91,3,22,z,1,0.8820443000004161,None,22,3,91,3,,,,,224.3005295999974,,224.28614050000033,224.3005295999974,225.30047649999688,225.30047649999688,225.30047649999688,225.30047649999688,225.30047649999688,226.3006514999979,226.3006514999979,227.18628389999867,z,1,0.8820443000004161,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,92,0,23,x,1,0.4602472000005946,None,23,0,92,0,,,,,227.20056509999995,,227.1869786999996,227.20056509999995,228.20064049999928,228.20064049999928,228.20064049999928,228.20064049999928,228.20064049999928,229.20063429999936,229.20063429999936,229.6682397000004,x,1,0.4602472000005946,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,93,1,23,v,1,0.545132499999454,None,23,1,93,1,,,,,229.6838973999984,,229.66863109999758,229.6838973999984,230.6673656999992,230.6673656999992,230.6673656999992,230.6673656999992,230.68428829999903,231.66722149999987,231.66722149999987,232.21864829999686,v,1,0.545132499999454,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,94,2,23,c,1,0.6842585999984294,None,23,2,94,2,,,,,232.23421260000032,,232.2191430999992,232.23421260000032,233.23421739999685,233.23421739999685,233.23421739999685,233.23421739999685,233.23421739999685,234.2341054999997,234.2341054999997,234.9354773999985,c,1,0.6842585999984294,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,95,3,23,z,1,0.530501400000503,None,23,3,95,3,,,,,234.95085850000032,,234.93580999999904,234.95085850000032,235.95112019999942,235.95112019999942,235.95112019999942,235.95112019999942,235.95112019999942,236.95091089999914,236.95091089999914,237.4862506999998,z,1,0.530501400000503,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,96,0,24,x,1,0.38113679999878514,None,24,0,96,0,,,,,237.50091809999867,,237.4869058999975,237.50091809999867,238.5009078999974,238.5009078999974,238.5009078999974,238.5009078999974,238.5009078999974,239.501072199997,239.501072199997,239.8861827999972,x,1,0.38113679999878514,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,97,1,24,v,1,0.48334930000055465,None,24,1,97,1,,,,,239.90205069999865,,239.88684439999997,239.90205069999865,240.9011219999993,240.9011219999993,240.9011219999993,240.9011219999993,240.9011219999993,241.90121279999948,241.90121279999948,242.3872502999984,v,1,0.48334930000055465,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,98,2,24,c,1,0.2870182000006025,None,24,2,98,2,,,,,242.40109259999736,,242.3879786999969,242.40109259999736,243.40141989999756,243.40141989999756,243.40141989999756,243.40141989999756,243.40141989999756,244.4014274000001,244.4014274000001,244.7032311999974,c,1,0.2870182000006025,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,99,3,24,z,1,0.9745489999986603,None,24,3,99,3,,,,,244.71803720000025,,244.70396039999832,244.71803720000025,245.7179866999977,245.7179866999977,245.7179866999977,245.7179866999977,245.7179866999977,246.71789629999694,246.71789629999694,247.70319219999874,z,1,0.9745489999986603,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,100,0,25,x,1,0.32681079999747453,None,25,0,100,0,,,,,247.71816679999756,,247.7040323000001,247.71816679999756,248.71829470000011,248.71829470000011,248.71829470000011,248.71829470000011,248.71829470000011,249.71837849999793,249.71837849999793,250.05343139999968,x,1,0.32681079999747453,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,101,1,25,v,1,0.2936283999988518,None,25,1,101,1,,,,,250.0681083999989,,250.05407849999756,250.0681083999989,251.06824939999933,251.06824939999933,251.06824939999933,251.06824939999933,251.06824939999933,252.06815859999915,252.06815859999915,252.369917,v,1,0.2936283999988518,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
50,c,102,2,25,c,1,0.31512089999887394,None,25,2,102,2,,,,,252.38486600000033,,252.37055699999837,252.38486600000033,253.3850444999989,253.3850444999989,253.3850444999989,253.3850444999989,253.3850444999989,254.38494219999848,254.38494219999848,254.70343659999708,c,1,0.31512089999887394,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-150,z,103,3,25,z,1,0.4233323000007658,None,25,3,103,3,,,,,254.71827139999732,,254.70409629999995,254.71827139999732,255.71833960000004,255.71833960000004,255.71833960000004,255.71833960000004,255.71833960000004,256.7184200999982,256.7184200999982,257.1538632999982,z,1,0.4233323000007658,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
-50,x,104,0,26,x,1,0.47229389999847626,None,26,0,104,0,,,,,257.16855699999724,,257.1545189999997,257.16855699999724,258.16861979999885,258.16861979999885,258.16861979999885,258.16861979999885,258.16861979999885,259.1686738999997,259.1686738999997,259.6539276000003,x,1,0.47229389999847626,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
150,v,105,1,26,v,1,0.43925469999885536,None,26,1,105,1,,,,,259.6685687999998,,259.65462449999904,259.6685687999998,260.6685000999969,260.6685000999969,260.6685000999969,260.6685000999969,260.6685000999969,261.6687469999997,261.6687469999997,262.1203573999992,v,1,0.43925469999885536,None,,,,,072424,001,2024-10-16_21h54.09.618,motorsquence,2024.2.1post4,60.01979452873557,2024-10-16 21h54.16.872018 +0530,
